otuid	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU380	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__uncultured	g__uncultured	s__uncultured
OTU381	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__uncultured
OTU382	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	unclassified
OTU383	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__uncultured
OTU384	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__uncultured	g__uncultured	s__uncultured
OTU385	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU386	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__uncultured	g__uncultured	s__uncultured
OTU387	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Chitinimonas	s__koreensis
OTU388	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU389	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Pseudoclavibacter	s__bifida
OTU2764	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Wohlfahrtiimonas	s__uncultured
OTU3215	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU1369	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__uncultured	g__uncultured	s__uncultured
OTU3759	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__koll13	g__uncultured	s__uncultured
OTU1229	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__uncultured	s__uncultured
OTU622	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__uncultured	s__uncultured
OTU3751	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU3750	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3753	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	unclassified	unclassified	unclassified
OTU3752	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	unclassified
OTU3754	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU2192	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU259	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__uncultured
OTU2194	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU2195	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__uncultured
OTU2196	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU2197	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__uncultured
OTU2198	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU253	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Diaphorobacter	s__uncultured
OTU250	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__uncultured
OTU251	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU256	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__uncultured	s__uncultured
OTU257	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU254	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__uncultured	s__uncultured
OTU255	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Microvirgula	s__uncultured
OTU2200	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU2201	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2203	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU2204	k__Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2205	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2206	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	f__uncultured	g__uncultured	s__uncultured
OTU2208	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU2428	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU2429	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU2421	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2423	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__uncultured
OTU2424	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	unclassified	unclassified
OTU2044	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU2427	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU901	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas	s__mexicana
OTU168	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Sediminibacterium	s__uncultured
OTU169	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerofilum	s__uncultured
OTU164	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU165	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU166	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Dechloromonas	s__uncultured
OTU167	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU160	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU161	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__uncultured
OTU162	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU163	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__AF12	s__uncultured
OTU3689	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__uncultured
OTU3682	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU3681	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__uncultured
OTU3680	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3687	k__Bacteria	p__Chlorobi	c__OPB56	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU3686	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__gordonii
OTU3685	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	unclassified
OTU3684	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	unclassified	unclassified	unclassified
OTU2515	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2516	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2513	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia	s__uncultured
OTU2734	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU2735	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU2736	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU2737	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	unclassified
OTU2730	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU2732	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__uncultured
OTU2738	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU2739	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU2643	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU2797	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU3531	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU3530	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Acidisoma	s__uncultured
OTU3533	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__ovatus
OTU3535	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU3534	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiotrichales	f__Piscirickettsiaceae	g__uncultured	s__uncultured
OTU3537	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU3536	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU678	k__Bacteria	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__uncultured
OTU679	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__uncultured
OTU1814	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Citrobacter	s__freundii
OTU1816	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU1092	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__uncultured
OTU1812	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1813	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1093	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU1819	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__uncultured	s__uncultured
OTU4336	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	unclassified
OTU4120	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__AF12	s__uncultured
OTU675	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	f__uncultured	g__uncultured	s__uncultured
OTU4334	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__uncultured
OTU1156	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU4332	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__uncultured
OTU1087	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU2795	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU672	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU1609	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	unclassified
OTU3229	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3228	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__AF12	s__uncultured
OTU1979	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU1978	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU3225	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU3224	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1975	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	unclassified
OTU1974	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3221	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1972	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU1970	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	s__uncultured
OTU1555	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU809	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU808	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU803	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__uncultured	s__uncultured
OTU802	k__Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU801	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU800	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Parabacteroides	s__gordonii
OTU807	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__uncultured	g__uncultured	s__uncultured
OTU806	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU805	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU804	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU2848	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Anaerorhabdus	s__furcosa
OTU2849	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU2846	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2847	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	unclassified
OTU2844	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU2845	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU2843	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	unclassified	unclassified
OTU2841	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	unclassified
OTU3323	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU3325	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU909	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__uncultured	s__uncultured
OTU3328	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__uncultured	s__uncultured
OTU1775	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU1774	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__uncultured
OTU1777	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU1776	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1771	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU1770	k__Bacteria	p__Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
OTU1773	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__uncultured	g__uncultured	s__uncultured
OTU323	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__indistinctus
OTU3973	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU321	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__uncultured	s__uncultured
OTU608	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Mucispirillum	unclassified
OTU1990	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU3974	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU2998	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1100	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU2999	k__Bacteria	p__Tenericutes	c__CK-1C4-19	o__uncultured	f__uncultured	g__uncultured	s__uncultured
OTU1154	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__uncultured	g__uncultured	s__uncultured
OTU1157	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Pasteuriaceae	g__uncultured	s__uncultured
OTU325	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__PW3	s__uncultured
OTU1150	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU1153	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Eubacterium	s__dolichum
OTU1152	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU59	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__perfringens
OTU58	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Anaerorhabdus	s__furcosa
OTU1550	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__uncultured	s__uncultured
OTU1553	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__uncultured	s__uncultured
OTU1552	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU1556	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	unclassified	unclassified
OTU55	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Clostridium	s__bifermentans
OTU54	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__uncultured	s__uncultured
OTU57	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	unclassified	unclassified	unclassified	unclassified
OTU3037	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU51	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__uncultured
OTU50	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU53	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__uncultured	s__uncultured
OTU52	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	unclassified
OTU537	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Morganella	s__morganii
OTU536	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__uncultured	g__uncultured	s__uncultured
OTU535	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	unclassified	unclassified
OTU534	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__uncultured	s__uncultured
OTU533	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Myroides	s__odoratimimus
OTU532	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__uncultured	g__uncultured	s__uncultured
OTU531	k__Bacteria	p__Verrucomicrobia	c__Opitutae	o__Cerasicoccales	f__Cerasicoccaceae	g__uncultured	s__uncultured
OTU530	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	unclassified	unclassified	unclassified
OTU539	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__uncultured	g__uncultured	s__uncultured
OTU538	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	s__hathewayi
OTU56	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__ovatus
OTU1558	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	f__uncultured	g__uncultured	s__uncultured
OTU2995	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unclassified
OTU1906	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Anaerorhabdus	s__furcosa
OTU3032	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU1907	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__SHA-43	f__uncultured	g__uncultured	s__uncultured
OTU3033	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	unclassified	unclassified
OTU3297	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__uncultured
OTU1902	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uncultured
OTU3291	k__Bacteria	p__Tenericutes	c__Mollicutes	o__RF39	f__uncultured	g__uncultured	s__uncultured
OTU429	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__uncultured
OTU428	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__uncultured	s__uncultured
OTU1398	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	unclassified	unclassified	unclassified
OTU421	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Flavihumibacter	s__uncultured
OTU420	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__uncultured
